sex,bdate,city,groups,careers,groups_activities
м,,Москва,,
ж,18.10.1990,Москва,,
ж,,Новобейсугская,,
ж,,,,
ж,22.10.1993,Москва,,
ж,,Ярославль,,
ж,,Санкт-Петербург,,
ж,,Санкт-Петербург,,
ж,,,,
м,,Донецк,,
м,,,,
ж,,Москва,,
м,,Ижевск,,
ж,,Москва,,
м,1.5.1978,Санкт-Петербург,,
м,,,,
м,,Москва,,
м,25.4.1988,,,
м,28.5.1983,,,
м,,Matsudo,,
м,13.1.1989,Нижний Новгород,,
ж,,Москва,,
м,11.12.1990,Москва,,
м,,Санкт-Петербург,,
ж,,Москва,,
ж,,,,
ж,,Тверь,,
ж,,,,
м,,Грозный,,
м,2.9.1980,Рязань,,
м,1.6.1986,Челябинск,,
м,,Москва,,
м,,Москва,,
ж,5.9.1987,Kinsale,,
м,,Москва,,
м,22.10.1992,Санкт-Петербург,,
м,23.1.1986,Санкт-Петербург,,
м,,Екатеринбург,,
м,,,,
м,15.2.1987,Москва,,
м,26.4.1966,Москва,,
м,,Los Angeles,,
м,7.1.1986,Самара,,
м,2.12.1989,Фрязино,,
м,8.11.1988,Екатеринбург,,
м,24.7.1989,Москва,,
м,13.10.1984,Саров,,
м,31.8.1990,Москва,,
м,,Москва,,
ж,30.4.1993,Москва,,
м,29.1.1986,Санкт-Петербург,,
м,23.6.1980,Новосибирск,,
ж,18.7.1991,Тула,,
ж,26.3.1991,,,
ж,22.7.1987,Санкт-Петербург,,
м,11.10.1991,Санкт-Петербург,,
м,,,,
м,,Санкт-Петербург,,
м,,Москва,,
м,,Петрозаводск,,
м,24.12.1987,Нижний Новгород,,
м,5.7.1989,Москва,,
м,,Екатеринбург,,
м,1.1.1976,Москва,,
ж,13.10.1982,Москва,,
м,,,,
ж,,Архангельск,,
м,,Томск,,
м,,Екатеринбург,,
м,,Омск,,
м,,,,
ж,,Саратов,,
м,,Тольятти,,
ж,,Пермь,,
м,,Великий Новгород,,
м,30.3.1985,Приозерск,,
ж,,,,
ж,,,,
ж,27.5.1981,Таганрог,,
ж,7.2.1987,Пермь,,
м,,Самара,,
ж,,Челябинск,,
м,,Москва,,
м,,Ярославль,,
ж,,Самара,,
м,,Чистополь,,
м,,,,
м,,,,
ж,,Москва,,
м,,Санкт-Петербург,,
ж,,Москва,,
ж,5.9.1989,Тюмень,,
м,,Москва,,
ж,,,,
м,14.3.1985,Москва,,
м,24.11.1984,Чита,,
м,,Москва,,
м,10.12.1981,Москва,,
ж,,Москва,,
м,,,,
ж,,Новосибирск,,
ж,,Москва,,
ж,,Донецк,,
ж,,,,
м,25.6.1972,,,
ж,,Новосибирск,,
м,,Санкт-Петербург,,
м,19.1.1993,,,
ж,30.12.1985,Москва,,
м,,Нижний Новгород,,
м,,Москва,,
м,,All Saints,,
м,,Владимир,,
м,,,,
м,,Москва,,
м,20.3.1980,Уфа,,
м,,,,
м,6.9.1985,Самара,,
м,22.1.1980,Екатеринбург,,
ж,,Санкт-Петербург,,
м,2.5.1988,Минск,,
ж,,,,
ж,23.8.1990,Москва,,
м,,Киров,,
м,7.12.1993,Санкт-Петербург,,
м,,,,
м,,,,
ж,29.7.1990,Санкт-Петербург,,
м,7.11.1988,Москва,,
ж,28.8.1989,Ростов-на-Дону,,
м,15.12.1989,Воронеж,,
м,2.1.1987,Ярославль,,
м,,Владивосток,,
ж,,,,
м,,Липецк,,
м,,Санкт-Петербург,,
м,27.10.1990,Москва,,
ж,,Новосибирск,,
м,12.9.1987,Москва,,
м,,Москва,,
м,15.11.1984,Новочеркасск,,
м,,,,
м,7.11.1992,Санкт-Петербург,,
м,,Санкт-Петербург,,
м,,Москва,,
ж,,Москва,,
м,14.8.1989,Симферополь,,
ж,,Москва,,
м,,Санкт-Петербург,,
ж,30.5.1985,Москва,,
м,20.3.1983,Санкт-Петербург,,
м,18.6.1991,Москва,,
ж,,Москва,,
м,,Набережные Челны,,
м,,Санкт-Петербург,,
м,,Москва,,
м,10.5.1983,Ставрополь,,
м,,Санкт-Петербург,,
м,1.11.1982,Нижний Новгород,,
м,,Санкт-Петербург,,
ж,4.5.1991,,,
ж,,Москва,,
ж,28.8.1987,Москва,,
м,10.1.1987,Москва,,
ж,,Казань,,
м,8.10.1982,Нижний Новгород,,
м,,Санкт-Петербург,,
ж,,Санкт-Петербург,,
ж,,Москва,,
м,,Санкт-Петербург,,
ж,29.4.1985,Тюмень,,
м,,Санкт-Петербург,,
м,,Москва,,
м,,Иваново,,
м,25.8.2000,Санкт-Петербург,,
м,8.7.1989,Москва,,
м,22.4.1986,Пермь,,
ж,,,,
м,30.11.1983,Севастополь,,
м,21.1.1988,Новосибирск,,
м,27.5.1974,Белгород,,
ж,,Москва,,
м,,Санкт-Петербург,,
ж,,Санкт-Петербург,,
м,27.5.1987,Великий Новгород,,
ж,,Пермь,,
м,,Москва,,
м,,Казань,,
м,,Москва,,
ж,,Ростов-на-Дону,,
м,,,,
м,,Санкт-Петербург,,
м,3.1.1940,Санкт-Петербург,,
м,8.3.1990,Нижний Новгород,,
м,,Kyōto,,
м,,Великий Новгород,,
м,26.7.1981,,,
м,,Москва,,
м,,Тольятти,,
ж,25.5.1990,Санкт-Петербург,,
м,31.8.1989,Санкт-Петербург,,
ж,19.7.1987,Тюмень,,
м,19.11.1982,Сургут,,
м,10.3.1981,Нижневартовск,,
ж,29.7.1983,Череповец,,
м,15.12.1987,Владивосток,,
м,,Москва,,
ж,5.6.1980,Апатиты,,
м,7.3.1988,Тула,,
ж,,Санкт-Петербург,,
м,,Москва,,
м,,Москва,,
м,27.8.1982,Бендеры,,
м,13.12.1990,Москва,,
ж,,,,
м,9.11.1986,Киров,,
м,,Сочи,,
м,,Архангельск,,
м,14.9.1986,Тула,,
м,,Москва,,
м,,Люберцы,,
м,19.3.1985,Москва,,
м,21.2.1987,Красноярск,,
м,20.12.1985,Красноярск,,
ж,,,,
м,,Магадан,,
ж,,Химки,,
ж,13.8.1981,Москва,,
м,,Москва,,
м,,Москва,,
м,,,,
м,,Москва,,
м,,Москва,,
м,,Санкт-Петербург,,
м,,Москва,,
м,,Сыктывкар,,
м,,Москва,,
м,,Пермь,,
м,5.5.1988,Воронеж,,
м,7.5.1988,Санкт-Петербург,,
м,22.4.1989,Москва,,
м,,Москва,,
ж,25.5.1986,,,
м,4.4.1985,Красноярск,,
м,,Хабаровск,,
ж,,Санкт-Петербург,,
м,,Санкт-Петербург,,
ж,,Москва,,
м,8.6.1984,Москва,,
м,,Тюмень,,
м,,Казань,,
ж,21.6.1987,Новосибирск,,
м,,Санкт-Петербург,,
м,23.9.1991,Москва,,
ж,,Санкт-Петербург,,
м,31.1.1982,Москва,,
м,,,,
м,,Новосибирск,,
м,3.11.1977,Выборг,,
м,,Калининград,,
м,27.5.1989,,,
м,,Москва,,
м,,Les Cayes,,
м,,,,
ж,,,,
м,,Комаричи,,
м,2.12.1986,Саратов,,
м,,Анапа,,
м,14.1.1989,Самара,,
ж,,Пермь,,
м,10.10.1986,Саратов,,
м,,,,
м,,Астрахань,,
ж,,,,
м,1.2.1986,Москва,,
м,,Москва,,
м,,Москва,,
ж,28.7.1993,,,
ж,3.6.1989,,,
м,,Москва,,
м,,,,
м,11.5.1989,,,
м,11.5.1983,Смоленск,,
м,,Нижний Новгород,,
ж,,Волгоград,,
м,18.2.1980,,,
ж,,Великий Новгород,,
м,,Москва,,
м,,Мурманск,,
м,1.8.1992,Санкт-Петербург,,
м,,Тюмень,,
м,2.9.1982,Псков,,
м,28.10.1988,Краснодар,,
м,26.4.1990,Москва,,
м,,Praha,,
ж,,Москва,,
ж,17.8.1987,Тула,,
ж,,Алматы,,
ж,,Москва,,
ж,,Санкт-Петербург,,
м,1.1.1986,,,
м,7.3.1988,Екатеринбург,,
м,,,,
м,,Тирасполь,,
м,,Москва,,
ж,10.9.1987,Борок,,
м,,Ульяновск,,
м,,Самара,,
ж,,Санкт-Петербург,,
м,,Москва,,
ж,19.1.1993,Москва,,
ж,,Санкт-Петербург,,
м,12.2.1987,Санкт-Петербург,,
м,19.7.1990,Новосибирск,,
ж,,Санкт-Петербург,,
м,13.11.1987,Пермь,,
м,,Балаково,,
м,,Миасс,,
ж,5.8.1988,Москва,,
м,,,,
м,,,,
ж,,Самара,,
ж,,Москва,,
м,7.6.1989,Плесецк,,
м,,,,
м,,Москва,,
м,,,,
м,,Архангельск,,
м,,Нижний Новгород,,
м,30.4.1987,Апатиты,,
м,,Санкт-Петербург,,
м,,Москва,,
м,17.9.1988,Ижевск,,
м,,Санкт-Петербург,,
ж,,Воронеж,,
