sex,bdate,city,groups,careers
м,25.12.1981,Москва,,
ж,,Екатеринбург,,
м,,Санкт-Петербург,,
м,10.8.1987,Веселый,,
м,,,,
м,9.7.1986,Москва,,
м,11.5.1975,Москва,,
м,5.3.1990,Нижний Новгород,,
м,,Томск,,
м,,Москва,,
м,16.8.1985,Городец,,
ж,,,,
м,,Троицк,,
м,,,,
м,24.3.1983,Красноярск,,
м,,Москва,,
м,25.11.1986,Новосибирск,,
м,,Москва,,
ж,,Москва,,
м,20.8.1983,Иркутск,,
м,,Москва,,
м,,Волгоград,,
ж,,Москва,,
ж,,Санкт-Петербург,,
м,,Москва,,
ж,,Москва,,
м,,Санкт-Петербург,,
м,,Красноярск,,
м,10.5.1989,Москва,,
м,,,,
ж,19.9.1989,Москва,,
м,26.3.1990,Москва,,
м,6.9.1990,Санкт-Петербург,,
м,,Москва,,
ж,,Рязань,,
м,,,,
ж,18.6.1989,Минск,,
м,,Липецк,,
м,,Воронеж,,
м,,Москва,,
м,,Москва,,
м,,,,
м,24.8.1987,Новосибирск,,
м,,Омск,,
м,,Москва,,
ж,,Санкт-Петербург,,
м,,Ростов-на-Дону,,
ж,,Казань,,
м,,Ставрополь,,
м,,Владимир,,
м,,Минск,,
ж,,Краснодар,,
м,,Северск,,
ж,16.11.1992,Москва,,
м,14.12.1985,Ставрополь,,
ж,23.8.1987,Пенза,,
м,,Екатеринбург,,
м,8.3.1983,Калининград,,
м,,Санкт-Петербург,,
м,,Минск,,
ж,13.9.1991,Петропавловск-Камчатский,,
ж,,Москва,,
ж,9.5.1978,Москва,,
ж,30.11.1988,Санкт-Петербург,,
м,15.8.1988,Алматы,,
м,8.6.1988,Москва,,
м,,Рязань,,
ж,,Новосибирск,,
м,20.2.1989,Каменск-Уральский,,
ж,,Санкт-Петербург,,
м,,,,
м,,,,
м,,Новосибирск,,
м,2.12.1986,,,
м,,Боровичи,,
м,7.7.1988,Астрахань,,
м,2.5.1976,Воронеж,,
м,,Москва,,
ж,26.11.1990,Санкт-Петербург,,
м,,Ko Pha-ngan,,
м,28.5.1975,Москва,,
м,9.5.1987,Пестрецы,,
м,,Пермь,,
м,,Хабаровск,,
м,,,,
ж,,Белгород,,
ж,,,,
ж,,Пермь,,
м,20.5.1984,New York City,,
м,5.9.1991,,,
ж,11.8.1983,Челябинск,,
м,,Чебоксары,,
ж,,Лобня,,
м,,Иркутск,,
м,21.5.1986,Минск,,
м,,,,
м,,Симферополь,,
м,,,,
м,,Новосибирск,,
м,5.5.1985,Санкт-Петербург,,
м,,Санкт-Петербург,,
м,26.8.1920,Звенигород,,
м,,Уфа,,
м,21.7.1990,Саратов,,
м,6.8.1985,Гродно,,
м,,,,
м,,,,
м,,Москва,,
м,7.8.1986,,,
ж,,,,
ж,12.11.1984,Москва,,
м,,Москва,,
м,,Волгоград,,
ж,,Москва,,
м,20.12.1986,Краснодар,,
м,15.12.1987,,,
м,26.2.1975,Самара,,
ж,29.4.1981,Пенза,,
м,,,,
м,,,,
м,14.10.1988,Москва,,
м,,Рязань,,
ж,,Тамбов,,
м,,Санкт-Петербург,,
м,,Тула,,
м,8.11.1989,Сургут,,
м,28.4.1981,Москва,,
ж,,,,
ж,,Ивантеевка,,
м,,Белгород,,
ж,17.3.1990,Тюмень,,
м,,Сыктывкар,,
м,,Москва,,
м,,Воронеж,,
ж,,Санкт-Петербург,,
ж,14.11.1984,Москва,,
м,15.7.1985,Самара,,
м,,Уфа,,
м,,Ростов-на-Дону,,
м,,Москва,,
м,1.1.1938,Москва,,
м,22.1.1917,Москва,,
м,27.3.1990,Екатеринбург,,
ж,30.4.1990,,,
