sex,bdate,city,groups_activities
м,3.4.1994,Санкт-Петербург,Юмор; Бизнес; Философия; Дизайн и графика; Программное обеспечение; Юмор; Игры; Дизайн и графика; Кино; Видеоигры; Программное обеспечение; Юмор; Интернет-СМИ; Видеоигры; Юмор; Обучающие курсы; Образование; Юмор; Юмор; Дизайн и графика
ж,,Самара,
ж,27.2.1991,Братск,"Дизайн интерьера; Интернет-СМИ; Сайты; Художница; Фитнес; Дизайн интерьера; Здоровый образ жизни; Строительные материалы, инструменты; Объявления; Здоровый образ жизни; Стиль, одежда, обувь; Фан-сообщество; Объявления; Городское сообщество; Стиль, одежда, обувь; Творчество; Государственная организация; Детская одежда и обувь; Беременность, роды; Комик"
ж,,Мурманск,"Интернет-СМИ; Гимназия; Городское сообщество; Городское сообщество; Интернет-СМИ; Кино; Объявления; Шоу, передача; Шоу, передача; Дискуссионный клуб; Творчество; Городское сообщество; Домашние и дикие животные; Кино; Туризм, путешествия; Дизайн и графика; Юмор; Наука; Юмор; Городское сообщество"
м,24.8.1984,,"Творчество; Наука; Творчество; Культура; Государственная организация; Обучающие курсы; Культурный центр; Консалтинг, бизнес-услуги"
м,,,"Кино; Приложение; Политика; Кино; История; Кулинария, рецепты; Недвижимость; Юмор; Кино; Кафе, ресторан; Дизайн и графика; Здоровый образ жизни; Культура; Бизнес; Бизнес; Автомобили; Туризм, путешествия; Кино; Туризм, путешествия; Консалтинг, бизнес-услуги"
м,,Кунгур,
м,16.12.1990,Сыктывкар,"Тренинг, семинар; Недвижимость; Интернет-СМИ; Консалтинг, бизнес-услуги; Бизнес; Бизнес; Доставка еды; Бизнес; Недвижимость; Дизайн-студия; Парфюмерия, косметика; Доставка еды; Дизайн и графика; Бизнес; Юридические услуги; Интернет-СМИ; Дизайн-студия; Интернет-СМИ; Дизайн и графика; Кофейня"
ж,,Краснодар,
ж,2.1.1994,Санкт-Петербург,
м,,Севастополь,
ж,,Москва,
м,13.4.1987,Волгоград,
ж,,Москва,
